hours_studied,sleep_hours,distractions,attendance,grade
7,5,5,58,71.67584154637372
4,9,9,80,70.37688743902716
8,8,9,64,84.3137124157382
5,4,9,53,49.883947772769766
7,4,6,89,76.08151107372973
10,6,6,58,88.82149040469254
3,7,5,94,72.1596626139285
7,9,9,58,63.32846621277865
8,6,10,75,76.29415969864446
5,7,8,53,53.37873289714653
4,5,7,66,54.001107581984996
8,9,7,65,93.75724915137621
8,5,6,64,76.12393451366079
3,8,5,84,65.91332574405001
6,9,4,54,80.82207502808102
5,7,3,54,68.81271285068219
2,8,3,69,56.82419085484046
8,4,6,64,63.96881116262672
6,7,4,67,71.61331220390639
2,6,6,96,68.18150900335861
5,4,3,51,54.99198933178477
1,4,4,78,48.40571259477706
10,6,9,62,74.30735164611916
6,9,5,53,77.81609489508712
9,4,7,91,78.42408167821131
1,7,10,94,49.723112419661575
10,8,2,59,100.0
3,4,5,80,51.38684277480327
7,7,9,90,86.07064639725222
4,5,3,57,53.15403010724199
9,7,9,52,67.86964703591846
3,8,6,97,81.93241032322237
5,7,4,95,86.26965096549503
3,6,7,58,50.59518039024813
7,8,8,79,87.59104792276348
5,9,6,60,56.90350525249535
9,5,5,84,95.1739131998516
7,6,6,86,80.19487407752827
2,9,5,91,69.35363604613043
4,7,8,62,58.18720538832793
9,8,1,85,100.0
2,5,7,62,44.972605377282605
10,6,10,61,78.29578516241959
9,9,10,86,95.84104507342029
10,9,2,59,100.0
5,5,9,58,45.67533355420931
2,7,1,56,53.29841214626248
4,5,10,51,39.985879347600275
7,9,6,72,95.18619196387269
8,4,9,88,85.3595319955677
3,6,1,89,72.23352011070303
1,5,4,88,56.30128838666238
4,9,4,70,72.56138513026976
2,7,9,72,49.65133309434512
8,9,5,78,97.29456373771389
4,7,5,63,65.137575078778
2,5,6,75,35.99430609091296
6,7,1,100,100.0
6,8,1,54,77.00539485391677
10,8,9,80,92.47531042884198
4,8,3,74,78.97128339081036
6,4,4,80,81.33412208202384
2,5,1,99,75.94501572020704
10,9,9,69,90.90724196394453
2,9,8,93,62.11997174930545
10,4,2,66,75.96877785945159
4,7,8,94,72.91257998290678
8,4,7,51,66.39508053897218
7,7,6,74,80.49068244950985
9,7,1,62,99.66873104418995
8,6,7,88,81.39904882083754
5,9,10,77,69.64380521772476
2,8,7,91,64.24849520206055
5,7,9,55,54.94945657871967
8,6,1,52,87.83965831476954
10,9,2,84,100.0
9,8,9,67,83.02603774613735
9,7,9,60,73.31653260094734
1,7,6,69,55.1428973571073
9,4,6,54,64.84401888710687
7,4,4,68,70.23500283576294
9,9,4,71,100.0
8,8,5,68,90.34121649035767
1,7,3,96,67.89911674149364
8,9,1,65,97.60846027763142
8,9,1,73,96.76811006321091
3,5,7,90,60.657363775712376
1,4,1,53,39.75067080502103
8,8,1,64,94.89814299727502
3,7,3,74,59.468793071868454
3,9,10,93,70.4892600388466
1,7,4,84,65.08314837443154
5,5,4,63,62.480884374397135
10,8,2,98,100.0
7,9,1,68,95.55173137422288
10,7,3,87,100.0
9,4,4,85,86.20737156771443
7,5,3,56,67.40805755639671
9,8,8,79,93.96446284577358
8,5,10,68,68.71927434007398
2,4,1,98,75.3754651094085
1,8,2,74,65.95435056101947
7,5,7,65,72.4439249156365
7,6,4,96,94.31540400856112
8,4,8,89,75.68900525339168
5,4,3,100,82.62669647987497
3,4,6,57,43.819265825141116
8,6,9,67,67.80809305722126
6,6,1,77,90.54974629279356
3,7,1,65,72.01144687464576
1,9,8,68,44.279254277914696
3,5,3,91,66.31102547441736
5,7,5,66,66.25024890279762
3,5,1,94,78.04925771899808
1,9,5,62,55.47362590226998
5,6,6,56,59.22203606393178
10,9,8,76,100.0
7,6,3,59,70.06183901777233
7,9,3,83,99.40680640679227
9,7,10,85,87.99557312226965
10,8,9,74,89.60478408720705
10,7,4,55,82.83746863034841
3,5,4,73,58.63480578093176
7,7,7,67,77.28479948108905
1,4,2,72,40.48759099146706
4,5,8,55,46.59243035328215
4,9,6,78,74.61119875924248
5,5,3,74,68.22885228426169
7,8,9,66,75.89919101197587
7,6,5,95,89.8366879186134
4,9,8,73,68.91585502668183
7,5,7,60,68.67123466437528
3,9,8,75,66.17403453075262
6,9,7,100,98.08410246723251
2,9,3,83,74.1916259439229
10,6,2,77,100.0
9,7,7,52,74.76104977623402
5,9,3,60,70.68345623565689
6,4,3,87,80.25589821556453
4,8,2,63,78.10655857326262
10,6,4,100,100.0
7,5,8,75,73.7480412385498
9,6,1,97,100.0
